Player,Pos,Age,Team,Games,Gms_started,MinPerG,FG,FGA,FG_pct,3P,3PA,3P_pct,2P,2PA,2P_pct,eFG_pct,FT,FTA,FT_pct,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB_pct,DRB_pct,TRB_pct,AST_pct,STL_pct,BLK_pct,TOV_pct,USG,OWS,DWS,WS,WSp48,OBPM,DBPM,BPM,VORP,Intercept,mvp score
Romeo Langford\langfro01,SG,22,BOS,21,0,18.3,1.9,4.4,0.424,0.7,1.8,0.405,1.1,2.6,0.436,0.505,0.4,0.6,0.692,1,2.2,3.2,0.5,0.4,0.1,0.5,1.3,4.9,8.9,0.522,0.402,0.141,5.8,12.9,9.3,4.1,1.2,0.7,10.1,12.4,0.2,0.3,0.5,0.061,-2.6,-0.6,-3.2,-0.1,1,
Zach LaVine\lavinza01,SF,26,CHI,27,27,35.1,9.5,19.4,0.49,2.9,7.5,0.391,6.6,12,0.551,0.565,4.1,4.8,0.846,0.3,5,5.3,4.2,0.5,0.3,2.7,1.6,26,21.6,0.604,0.385,0.248,1,15.5,8.3,21,0.7,0.8,11,30.3,2.2,0.8,3,0.153,5.3,-1.6,3.7,1.4,1,
Kira Lewis Jr.\lewiski01,PG,20,NOP,24,0,14.2,2.5,6.1,0.404,0.5,2.4,0.224,1.9,3.7,0.523,0.449,0.4,0.5,0.833,0.4,1.3,1.6,2,0.5,0,1.1,0.7,5.9,10.4,0.466,0.397,0.082,2.8,9.8,6.2,22.9,1.6,0.3,14.7,22.2,-0.2,0.1,-0.1,-0.019,-3,-2.1,-5.1,-0.3,1,
Damian Lillard\lillada01,PG,31,POR,21,21,35.8,7.2,18.3,0.392,2.8,9.3,0.296,4.4,9,0.492,0.468,4.4,5,0.886,0.5,3.8,4.3,7.7,0.6,0.4,2.7,1.3,21.6,18.2,0.525,0.509,0.273,1.6,11.8,6.6,34.5,0.8,1,11.7,28.3,1.3,0.1,1.4,0.089,2.6,-3,-0.4,0.3,1,
Nassir Little\littlna01,SF,21,POR,23,4,22.4,3.2,6.6,0.49,1,3.1,0.324,2.2,3.5,0.638,0.566,1.3,1.8,0.756,1.3,3.9,5.2,0.7,0.7,0.7,0.9,2.1,8.8,14.7,0.597,0.47,0.272,6.3,19.5,12.8,4.8,1.5,2.8,10.6,16,0.8,0.4,1.1,0.104,-0.6,-0.7,-1.4,0.1,1,
Kevon Looney\looneke01,C,25,GSW,26,26,18,2.3,4.3,0.531,0,0,0,2.3,4.3,0.536,0.531,1,1.7,0.556,2.3,4,6.4,1.2,0.5,0.7,0.7,2.5,5.6,15.6,0.546,0.009,0.398,14.7,23.5,19.3,9.5,1.3,4,11.9,13.9,0.9,1.1,1.9,0.198,-1.7,0.6,-1.1,0.1,1,
Kyle Lowry\lowryky01,PG,35,MIA,25,25,34,4.7,11,0.431,2.1,6.5,0.327,2.6,4.5,0.58,0.527,1.9,2.2,0.87,0.6,3.8,4.4,8.1,1.1,0.3,3.1,2.7,13.4,14.9,0.564,0.591,0.197,1.9,12.5,7.3,35.2,1.6,1,20.5,19.6,1.2,0.9,2.1,0.121,0.7,0.1,0.8,0.6,1,
Trey Lyles\lylestr01,PF,26,DET,26,0,16.3,2.5,6,0.426,0.8,2.6,0.309,1.7,3.3,0.517,0.494,1.7,2.1,0.796,1.3,2.8,4.1,0.7,0.3,0.2,0.9,1.4,7.5,14.1,0.548,0.439,0.348,8.1,20.2,13.8,7.7,0.8,0.9,11.4,20.5,0.4,0.3,0.7,0.075,-0.7,-2.2,-2.9,-0.1,1,
Terance Mann\mannte01,SF,25,LAC,26,2,27.8,3.6,7.8,0.465,1,2.8,0.375,2.6,5,0.515,0.532,1.5,1.8,0.792,1.5,3.9,5.4,2.3,0.7,0.1,1.2,2.3,9.7,12.6,0.567,0.356,0.238,6,14.6,10.4,12,1.1,0.2,11.9,15.3,1,0.8,1.8,0.121,-1.4,-0.2,-1.6,0.1,1,
Caleb Martin\martica02,SF,26,MIA,23,2,19.6,2.9,5.9,0.489,0.9,2.3,0.377,2,3.6,0.561,0.563,1,1.6,0.639,0.8,2.3,3.2,1,0.9,0.6,0.6,1.5,7.6,15,0.58,0.393,0.267,4.8,13.2,9.1,7.3,2.2,3.2,7.9,16.2,0.7,0.6,1.3,0.14,0.1,1,1.1,0.4,1,
